#***********************************************************#
# If you used results from CATS queries in your papers, we'd#
# be grateful to know where your paper will appear, and for #
# adding to your paper the following reference:             #
#---------------------------------------------------------- #
# The authors made use of the database CATS (Verkhodanov    #
# et al., 1997) of the Special Astrophysical Observatory.   #
#                                                           #
#   Verkhodanov O.V., Trushkin S.A., Andernach H.,          #
#      Chernenkov V.N. 1997. The CATS database to operate   #
#      with astrophysical catalogs. In "Astronomical Data   #
#      Analysis Software and Systems VI".                   #
#      Editors: Gareth Hunt and H. E. Payne                 #
#      ASP Conference Series, Vol. 125, P.322-325.          #
#***********************************************************#
# TASK: matching
# Search circle of radius of 3600 arcsec
# default input  epoch: J2000.0
# default output epoch: J2000.0
# 
# cat     name            RA         eRA       Dec       eDec     freq    Flux(Jy)   eFl  equi.    dist," pa,^
#-------------------------------------------------------------------------------------------------------------
#OBJECT: 3C343.1 16:38:28.21 62:34:44.31 2000
NVSS   J164142+631044     16 41 42.155      n   63 10 44.10     n     1400    0.0098    .0010 J       2527.3  329
NVSS   J164146+623730     16 41 46.040      n   62 37 30.56     n     1400    0.0029    .0006 J       1374.5  277
NVSS   J164210+622820     16 42 10.443      n   62 28 20.93     n     1400    0.0341    .0014 J       1587.6  256
NVSS   J164212+620545     16 42 12.958      n   62 05 45.73     n     1400    0.0058    .0007 J       2347.7  222
NVSS   J164221+615704     16 42 21.077      n   61 57 04.65     n     1400    0.0065    .0015 J       2793.5  216
NVSS   J164223+632229     16 42 23.949      n   63 22 29.35     n     1400    0.0237    .0005 J       3274.1  331
NVSS   J164232+630147     16 42 32.607      n   63 01 47.62     n     1400     0.005    .0006 J       2323.6  314
NVSS   J164234+625828     16 42 34.058      n   62 58 28.48     n     1400    0.0046    .0005 J       2199.1  310
NVSS   J164243+630811     16 42 43.422      n   63 08 11.59     n     1400    0.0025    .0005 J       2649.8  319
NVSS   J164244+624356     16 42 44.271      n   62 43 56.58     n     1400     0.012    .0005 J       1844.3  287
NVSS   J164247+624940     16 42 47.708      n   62 49 40.03     n     1400    0.0127    .0010 J       1990.4  297
NVSS   J164248+621031     16 42 48.547      n   62 10 31.18     n     1400    0.0136    .0011 J         2331  231
NVSS   J164253+623857     16 42 53.716      n   62 38 57.98     n     1400    0.0186    .0005 J       1847.2  278
NVSS   J164259+631434     16 42 59.679      n   63 14 34.70     n     1400    0.0031    .0014 J       3012.4  323
NVSS   J164305+621427     16 43 05.351      n   62 14 27.91     n     1400    0.0079    .0005 J       2286.5  238
NVSS   J164307+630229     16 43 07.389      n   63 02 29.58     n     1400    0.2803    .0006 J       2525.3  311
NVSS   J164323+615901     16 43 23.076      n   61 59 01.79     n     1400    0.0231    .0014 J       2984.4  224
NVSS   J164337+624653     16 43 37.723      n   62 46 53.04     n     1400    0.0127    .0010 J         2245  289
NVSS   J164346+620343     16 43 46.444      n   62 03 43.67     n     1400    0.0061    .0016 J       2909.2  230
NVSS   J164354+622956     16 43 54.090      n   62 29 56.69     n     1400    0.0035    .0006 J       2275.4  263
NVSS   J164354+621946     16 43 54.257      n   62 19 46.89     n     1400    0.0059    .0005 J         2442  248
NVSS   J164355+623357     16 43 55.349      n   62 33 57.39     n     1400    0.0038    .0007 J       2261.3  269
NVSS   J164357+624521     16 43 57.206      n   62 45 21.86     n     1400    0.0024    .0005 J       2347.3  286
NVSS   J164401+624238     16 44 01.685      n   62 42 38.72     n     1400     0.003    .0006 J       2341.9  282
NVSS   J164411+622723     16 44 11.467      n   62 27 23.48     n     1400    0.0028    .0007 J       2421.4  260
NVSS   J164429+623411     16 44 29.805      n   62 34 11.75     n     1400    0.0029    .0006 J       2498.8  269
NVSS   J164434+620919     16 44 34.872      n   62 09 19.57     n     1400    0.0046    .0005 J       2987.3  239
NVSS   J164537+620851     16 45 37.866      n   62 08 51.12     n     1400    0.0083    .0005 J         3388  243
